externalId,stationId,capacity,rental_uris.ios,rental_uris.android,electric_bike_surcharge_waiver,lat,eightd_station_services,eightd_has_key_dispenser,has_kiosk,name,short_name,lon,rental_methods,station_type,region_id,address
a3b13836-a135-11e9-9cda-0a87ae2ba916,a3b13836-a135-11e9-9cda-0a87ae2ba916,11,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.880708,[],false,true,Kenton Ave & Madison St,537,-87.741018,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a62fc9-a135-11e9-9cda-0a87ae2ba916,a3a62fc9-a135-11e9-9cda-0a87ae2ba916,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.845687,[],false,true,Indiana Ave & 26th St,TA1307000005,-87.622481,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a3b731-a135-11e9-9cda-0a87ae2ba916,a3a3b731-a135-11e9-9cda-0a87ae2ba916,23,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.903119,[],false,true,Honore St & Division St,TA1305000034,-87.673935,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a795d7-a135-11e9-9cda-0a87ae2ba916,a3a795d7-a135-11e9-9cda-0a87ae2ba916,19,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.882134,[],false,true,Michigan Ave & Madison St,13036,-87.625125,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a497b6-a135-11e9-9cda-0a87ae2ba916,a3a497b6-a135-11e9-9cda-0a87ae2ba916,19,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.9105780349,[],false,true,Dayton St & North Ave,13058,-87.6494219288,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
da9e6779-5056-4d45-bae3-9dc325ed2807,da9e6779-5056-4d45-bae3-9dc325ed2807,11,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.699206168127674,[],false,true,Hale Ave & 107th St,20108,-87.66891896724701,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,a3a7f0ba-a135-11e9-9cda-0a87ae2ba916,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.88137,[],false,true,Damen Ave & Madison St,13134,-87.67493,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3a965b2-a135-11e9-9cda-0a87ae2ba916,a3a965b2-a135-11e9-9cda-0a87ae2ba916,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.871514,[],false,true,Hermitage Ave & Polk St,13080,-87.669886,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3ad13e4-a135-11e9-9cda-0a87ae2ba916,a3ad13e4-a135-11e9-9cda-0a87ae2ba916,11,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.842733,[],false,true,Shields Ave & 28th Pl,15443,-87.635491,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3af9a83-a135-11e9-9cda-0a87ae2ba916,a3af9a83-a135-11e9-9cda-0a87ae2ba916,15,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.96115407569,[],false,true,Drake Ave & Montrose Ave,KA1504000097,-87.7165690733,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3ad7636-a135-11e9-9cda-0a87ae2ba916,a3ad7636-a135-11e9-9cda-0a87ae2ba916,11,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.79342945658,[],false,true,MLK Jr Dr & 56th St,KA1503000073,-87.6158532619,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
a3af2c5f-a135-11e9-9cda-0a87ae2ba916,a3af2c5f-a135-11e9-9cda-0a87ae2ba916,19,https://chi.lft.to/lastmile_qr_scan,https://chi.lft.to/lastmile_qr_scan,false,41.98974251144,[],false,true,Broadway & Thorndale Ave,15575,-87.6601406209,"[""KEY"",""CREDITCARD"",""TRANSITCARD""]",classic,undefined,undefined
